parent_product_code,included_product_code,quantity,unit,source_document,source_printed_page,source_pdf_page,source_table_or_row,note
WLAB 200 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200 E3,Two bolts are included according to the table
WLAB 200 E3,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 200 E3,Two cage nuts are included according to the table
WLAB 300 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300 E3,Two bolts are included according to the table
WLAB 300 E3,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 300 E3,Two cage nuts are included according to the table
WLAB 400 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400 E3,Two bolts are included according to the table
WLAB 400 E3,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 400 E3,Two cage nuts are included according to the table
WLAB 500 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500 E3,Two bolts are included according to the table
WLAB 500 E3,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 500 E3,Two cage nuts are included according to the table
WLAB 600 E3,FK 6X10 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600 E3,Two bolts are included according to the table
WLAB 600 E3,GSM 406 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 448,452,WLAB 600 E3,Two cage nuts are included according to the table
RMP 130,FLM 6X12,2,pcs,KAT_NX_KR 2022.pdf,KR 449,453,RMP 130,Two fasteners included
RMP 130 F,FLM 6X12 F,2,pcs,KAT_NX_KR 2022.pdf,KR 449,453,RMP 130 F,Two fasteners included
RMP 130 E3,FLM 6X12 E3,2,pcs,KAT_NX_KR 2022.pdf,KR 449,453,RMP 130 E3,Two fasteners included
WSTB 2,FLM 8X25 F,1,pcs,KAT_NX_KR 2022.pdf,KR 449,453,WSTB 2,One fastener is supplied with each fixing
WSTB 2 E3,FLDM 8X25 E3,1,pcs,KAT_NX_KR 2022.pdf,KR 449,453,WSTB 2 E3,One fastener is supplied with each fixing
