code,description_en,category,product_family,system,catalog_version,pack_quantity,pack_unit,order_unit,ean,height_mm,width_mm,length_mm,material_code,finish_code,weight_value,weight_unit,weight_basis_quantity,weight_basis_unit,approval_number,dop_number,indoor_only,engineering_verification_required,is_orderable,source_document,source_printed_page,source_pdf_page,source_table_or_row,engineering_note
DAZ 16X25,Expansion anchor with nut and washer,anchor,DAZ,concrete,2022-p0,10,pcs,pcs,,,,,steel,V,23.78,kg,100,kg_per_100_pcs,ETA-18/0542,NI 002,false,true,true,1.-Electrical-installation-materials.pdf,156,19,DAZ 16X25,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
NSA 6X35/FKK-T30 V,Concrete screw anchor,anchor,NSA,concrete,2022-p0,100,pcs,pcs,,,,,steel,V,0.91,kg,100,kg_per_100_pcs,ETA 15/0784,,true,true,true,1.-Electrical-installation-materials.pdf,157,20,NSA 6X35/FKK-T30 V,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
NSA 6X50/FKK-T30 V,Concrete screw anchor,anchor,NSA,concrete,2022-p0,100,pcs,pcs,,,,,steel,V,1.02,kg,100,kg_per_100_pcs,ETA 15/0784,,true,true,true,1.-Electrical-installation-materials.pdf,157,20,NSA 6X50/FKK-T30 V,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
NSA 6X55/SW10-M6 V,Concrete screw anchor,anchor,NSA,concrete,2022-p0,100,pcs,pcs,,,,,steel,V,1.12,kg,100,kg_per_100_pcs,ETA 15/0784,,true,true,true,1.-Electrical-installation-materials.pdf,157,20,NSA 6X55/SW10-M6 V,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
NSA 7.5X40/FKG-T30 V,Concrete screw anchor,anchor,NSA,concrete,2022-p0,100,pcs,pcs,,,,,steel,V,1.38,kg,100,kg_per_100_pcs,ETA 15/0784,,true,true,true,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X40/FKG-T30 V,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
NSA 7.5X50/FKG-T30 V,Concrete screw anchor,anchor,NSA,concrete,2022-p0,100,pcs,pcs,,,,,steel,V,1.62,kg,100,kg_per_100_pcs,ETA 15/0784,,true,true,true,1.-Electrical-installation-materials.pdf,157,20,NSA 7.5X50/FKG-T30 V,"Suitability must be verified against the applicable ETA, substrate condition, edge distances, loads, and installation instructions."
FLM 6X12,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,10,pcs,pcs,,,,,steel,V,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 6X12,
FLM 6X12 F,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 6X12 F,
FLM 6X16 F,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,10,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 6X16 F,
FLM 8X13 F,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,10,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 8X13 F,
FLM 8X16 F,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 8X16 F,
FLM 8X16 E3,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 8X16 E3,
FLM 8X25 F,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 8X25 F,
FLM 10X25 F,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,steel,F,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 10X25 F,
FLM 10X25 E3,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 10X25 E3,
FLM 6X12 E3,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 6X12 E3,
FLM 6X12 E5,Catalog fastener or fixing component,accessory,FLM,shared,2022-p0,50,pcs,pcs,,,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,FLM 6X12 E5,
SKM 8X16 E5,Catalog fastener or fixing component,accessory,SKM,shared,2022-p0,50,pcs,pcs,,,,,stainless_1.4571,E5,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 130,134,SKM 8X16 E5,
FK 6X12,Catalog fastener or fixing component,accessory,FK,shared,2022-p0,25,pcs,pcs,,,,,steel,V,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 133,137,FK 6X12,
GSM 406,Catalog fastener or fixing component,accessory,GSM,shared,2022-p0,50,pcs,pcs,,,,,steel,G,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 116,120,GSM 406,
GSM 406 E3,Catalog fastener or fixing component,accessory,GSM,shared,2022-p0,50,pcs,pcs,,,,,stainless_1.4301_1.4303,E3,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 116,120,GSM 406 E3,
GSF 0406,Catalog fastener or fixing component,accessory,GSF,shared,2022-p0,25,pcs,pcs,,,,,steel,G,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,GSF 0406,
Z M6X10,Catalog fastener or fixing component,accessory,Z,shared,2022-p0,100,pcs,pcs,,,,,steel,V,,,,,,,false,false,true,KAT_NX_KR 2022.pdf,KR 448,452,Z M6X10,
FLDM 8X25 E3,Included-only catalog fastener component,accessory,FLDM,shared,2022-p0,,,pcs,,,,,steel,E3,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 449,453,Included-accessory statement for FLDM 8X25 E3,
FK 6X10 E3,Included-only catalog fastener component,accessory,FK,shared,2022-p0,,,pcs,,,,,steel,E3,,,,,,,false,false,false,KAT_NX_KR 2022.pdf,KR 355,359,Included-accessory statement for FK 6X10 E3,
